"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 02- 12","15,942.54","15,980.62","16,080.07","15,917.87","1.09B","-0.30%"
"2024- 02- 09","15,990.66","15,842.38","16,007.29","15,831.76","1.08B","1.25%"
"2024- 02- 08","15,793.71","15,762.23","15,813.27","15,739.18","1.02B","0.24%"
"2024- 02- 07","15,756.64","15,690.35","15,770.67","15,645.80","943.13M","0.95%"
"2024- 02- 06","15,609.00","15,638.19","15,652.75","15,515.25","931.55M","0.07%"
"2024- 02- 05","15,597.68","15,613.99","15,637.88","15,471.68","923.28M","-0.20%"
"2024- 02- 02","15,628.95","15,403.16","15,664.21","15,366.78","956.87M","1.74%"
"2024- 02- 01","15,361.64","15,254.02","15,372.13","15,208.88","1.01B","1.30%"
"2024- 01- 31","15,164.01","15,324.19","15,405.55","15,158.49","1.29B","-2.23%"
"2024- 01- 30","15,509.90","15,604.08","15,619.23","15,484.67","915.72M","-0.76%"
"2024- 01- 29","15,628.04","15,470.66","15,630.58","15,449.87","959.39M","1.12%"
"2024- 01- 26","15,455.36","15,474.85","15,538.84","15,433.04","857.50M","-0.36%"
"2024- 01- 25","15,510.50","15,555.62","15,597.25","15,430.68","998.98M","0.18%"
"2024- 01- 24","15,481.92","15,560.61","15,629.07","15,468.91","932.89M","0.36%"
"2024- 01- 23","15,425.94","15,391.41","15,432.35","15,337.23","959.54M","0.43%"
"2024- 01- 22","15,360.29","15,393.05","15,438.85","15,333.63","1.04B","0.32%"
"2024- 01- 19","15,310.97","15,122.38","15,310.97","15,087.20","1.14B","1.70%"
"2024- 01- 18","15,055.65","14,994.52","15,066.81","14,911.11","1.04B","1.35%"
"2024- 01- 17","14,855.62","14,814.77","14,865.76","14,706.23","944.50M","-0.59%"
"2024- 01- 16","14,944.35","14,908.26","15,004.35","14,863.81","1.10B","-0.19%"
"2024- 01- 12","14,972.76","15,001.01","15,047.25","14,931.88","865.51M","0.02%"
"2024- 01- 11","14,970.18","15,020.95","15,063.61","14,800.38","1.00B","0.00%"
"2024- 01- 10","14,969.65","14,877.70","14,998.20","14,842.70","904.43M","0.75%"
