market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2024-08-16 00:00:00+00:00,2024-08-16 09:00:00,81044000.0,83400000.0,80296000.0,82209000.0,1723852799810,214699078822.88956,2629.8190762,81004000.0,1205000.0,0.0148758086
KRW-BTC,2024-08-17 00:00:00+00:00,2024-08-17 09:00:00,82185000.0,83000000.0,82042000.0,82849000.0,1723939199874,73291253042.81598,887.07641461,82209000.0,640000.0,0.0077850357
KRW-BTC,2024-08-18 00:00:00+00:00,2024-08-18 09:00:00,82821000.0,83679000.0,81500000.0,81500000.0,1724025599992,143255575447.1464,1727.83371254,82849000.0,-1349000.0,-0.0162826347
KRW-BTC,2024-08-19 00:00:00+00:00,2024-08-19 09:00:00,81500000.0,81915000.0,80100000.0,81680000.0,1724111996527,214078811458.96536,2644.34129141,81500000.0,180000.0,0.002208589
KRW-BTC,2024-08-20 00:00:00+00:00,2024-08-20 09:00:00,81678000.0,83400000.0,80501000.0,80751000.0,1724198399731,274100335212.15652,3339.76112482,81680000.0,-929000.0,-0.0113736533
KRW-BTC,2024-08-21 00:00:00+00:00,2024-08-21 09:00:00,80751000.0,83600000.0,80567000.0,82900000.0,1724284798747,235879234125.4242,2882.78548851,80751000.0,2149000.0,0.0266126735
KRW-BTC,2024-08-22 00:00:00+00:00,2024-08-22 09:00:00,82900000.0,83101000.0,81280000.0,82003000.0,1724371199477,176142420142.3459,2138.23568495,82900000.0,-897000.0,-0.0108202654
KRW-BTC,2024-08-23 00:00:00+00:00,2024-08-23 09:00:00,82003000.0,86500000.0,82002000.0,85600000.0,1724457599919,376889529927.51227,4485.27203937,82003000.0,3597000.0,0.0438642489
KRW-BTC,2024-08-24 00:00:00+00:00,2024-08-24 09:00:00,85600000.0,86390000.0,85155000.0,85767000.0,1724543999956,189010265920.50162,2204.28031834,85600000.0,167000.0,0.0019509346
KRW-BTC,2024-08-25 00:00:00+00:00,2024-08-25 09:00:00,85807000.0,86979000.0,85410000.0,86254000.0,1724630399906,145981547975.5474,1698.8163817,85767000.0,487000.0,0.0056781746
